 ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
4448,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0079-0735,642,7.349,2.059,2,13,720,68,30,22
4449,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0077-0765,710,7.206,2.467,1,14,750,65,30,25
4450,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0076-0795,774,7.349,2.286,2,14,780,63,30,27
4451,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-0825,840,6.257,2.157,1,13,810,61,30,29
4452,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-0855,896,7.198,2.295,2,14,840,60,30,30
4453,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-0885,900,7.361,2.129,2,14,870,60,30,30
4454,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-0915,900,6.934,1.943,2,12,900,60,30,30
4455,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-0945,900,6.416,2.181,2,12,930,60,30,30
4456,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-0975,900,7.251,2.087,1,14,960,60,30,30
4457,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-1005,900,7.216,2.150,2,13,990,60,30,30
4458,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-1035,900,7.110,2.103,2,14,1020,60,30,30
4459,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-1065,900,7.146,1.945,1,14,1050,60,30,30
4460,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-1095,900,6.541,1.983,2,13,1080,60,30,30
4461,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-1125,900,7.016,2.088,2,16,1110,60,30,30
4462,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-1155,900,6.482,2.026,2,12,1140,60,30,30
4463,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-1185,900,6.286,1.988,1,11,1170,60,30,30
4464,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0075-1215,888,5.179,2.166,1,11,1200,60,30,30
4465,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0076-1245,575,5.518,2.122,1,11,1230,63,30,27
4466,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0087-1261,14,3.000,0.784,2,4,1260,84,3,6
4467,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0118-0140,50,7.260,2.008,3,11,130,116,20,4
4468,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0115-0165,221,6.896,2.023,3,12,150,110,30,10
4469,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0114-0195,323,7.307,2.183,2,15,180,108,30,12
4470,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0113-0225,392,6.163,2.004,2,11,210,106,30,14
4471,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0111-0255,462,6.128,2.009,2,12,240,103,30,17
4472,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0110-0285,534,6.721,2.248,2,12,270,101,30,19
4473,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0109-0315,603,6.396,2.129,2,13,300,99,30,21
4474,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0108-0345,674,6.196,2.219,1,14,330,96,30,24
4475,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0107-0375,745,6.593,2.220,2,14,360,94,30,26
4476,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0106-0405,814,7.010,2.010,2,13,390,92,30,28
4477,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0435,883,7.405,2.048,2,13,420,90,30,30
4478,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0465,900,6.941,1.997,1,13,450,90,30,30
4479,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0495,900,6.610,2.284,1,13,480,90,30,30
4480,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0525,900,6.816,2.067,1,13,510,90,30,30
4481,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0555,900,7.769,2.120,2,13,540,90,30,30
4482,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0585,900,7.489,2.226,2,14,570,90,30,30
4483,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0615,900,7.584,2.051,2,14,600,90,30,30
4484,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0645,900,7.346,2.069,3,13,630,90,30,30
4485,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0675,900,7.729,2.089,3,14,660,90,30,30
4486,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0705,900,8.258,2.246,1,16,690,90,30,30
4487,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0735,900,8.306,2.275,1,17,720,90,30,30
4488,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0765,900,8.113,1.973,2,13,750,90,30,30
4489,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0795,900,8.191,2.221,2,14,780,90,30,30
4490,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0825,900,7.751,2.126,2,14,810,90,30,30
4491,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0855,900,7.867,1.914,2,14,840,90,30,30
4492,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0885,900,7.274,2.070,2,13,870,90,30,30
4493,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0915,900,7.137,1.873,2,13,900,90,30,30
4494,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0945,900,6.332,1.897,1,12,930,90,30,30
4495,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-0975,900,6.494,1.967,2,13,960,90,30,30
4496,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-1005,900,7.756,2.198,2,15,990,90,30,30
4497,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-1035,786,7.485,1.889,3,13,1020,90,30,30
4498,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0101-1065,544,6.908,1.918,2,13,1050,90,30,22
4499,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0098-1095,413,6.334,1.801,2,11,1080,90,30,16
4500,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0099-1125,448,6.978,2.097,2,13,1110,90,30,18
4501,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-1155,746,6.353,2.054,1,12,1140,90,30,30
4502,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-1185,900,6.679,1.791,2,15,1170,90,30,30
4503,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-1215,900,6.107,1.925,2,11,1200,90,30,30
4504,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-1245,900,6.943,2.017,2,15,1230,90,30,30
4505,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0105-1275,778,5.947,2.036,1,14,1260,90,30,30
4506,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0108-1305,559,5.800,1.840,1,11,1290,96,30,24
4507,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0111-1321,8,5.375,1.506,3,7,1320,108,2,6
4508,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0138-0081,334,7.473,1.814,3,13,72,127,18,23
4509,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0105,771,7.191,1.905,2,12,90,121,30,29
4510,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0135,895,6.932,2.217,2,13,120,120,30,30
4511,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0165,900,6.656,2.567,1,16,150,120,30,30
4512,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0195,900,8.386,2.768,2,16,180,120,30,30
4513,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0225,900,8.092,2.445,2,14,210,120,30,30
4514,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0255,900,8.743,2.483,2,15,240,120,30,30
4515,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0285,900,8.537,2.069,3,16,270,120,30,30
4516,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0315,900,7.351,1.951,3,14,300,120,30,30
4517,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0345,900,7.782,2.212,2,14,330,120,30,30
4518,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0375,900,6.936,1.874,2,12,360,120,30,30
4519,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0405,900,7.350,2.004,2,13,390,120,30,30
4520,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0435,900,7.123,2.011,2,14,420,120,30,30
4521,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0465,900,6.822,1.972,2,14,450,120,30,30
4522,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0495,900,7.084,1.945,2,13,480,120,30,30
4523,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0525,900,7.061,2.081,2,13,510,120,30,30
4524,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0555,900,7.244,1.896,3,16,540,120,30,30
4525,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0585,900,6.772,2.134,2,13,570,120,30,30
4526,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0615,900,6.680,1.731,3,12,600,120,30,30
4527,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0645,900,7.273,2.111,2,14,630,120,30,30
4528,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0675,900,7.396,2.098,2,15,660,120,30,30
4529,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0705,900,7.948,1.995,2,14,690,120,30,30
4530,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0735,900,7.116,1.935,2,13,720,120,30,30
4531,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0765,900,7.048,1.864,2,12,750,120,30,30
4532,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0795,900,6.842,1.951,2,13,780,120,30,30
4533,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0825,900,7.630,1.894,3,14,810,120,30,30
4534,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0855,900,8.408,2.183,2,14,840,120,30,30
4535,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-0885,900,8.056,1.883,3,14,870,120,30,30
4536,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0134-0915,794,8.013,1.915,3,18,900,120,30,29
4537,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0133-0945,679,7.938,2.009,3,14,930,120,30,26
4538,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0131-0975,582,7.359,2.148,3,14,960,120,30,22
4539,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0128-1005,337,8.104,1.931,3,14,990,120,30,17
4540,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0121-1021,4,9.500,0.577,9,10,1020,120,3,2
4541,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0123-1185,103,7.214,1.736,3,11,1171,120,29,7
4542,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0131-1215,495,6.493,1.844,2,12,1200,120,30,23
4543,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-1245,749,6.919,1.995,2,13,1230,120,30,30
4544,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-1275,893,5.872,2.040,2,12,1260,120,30,30
4545,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0135-1302,527,6.509,2.033,1,12,1290,120,25,30
4546,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0156-0080,245,8.429,2.049,4,15,70,150,20,13
4547,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0156-0105,390,7.423,2.006,3,14,90,150,30,13
4548,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0156-0135,390,8.290,1.905,4,14,120,150,30,13
4549,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0156-0165,390,8.303,2.338,3,15,150,150,30,13
4550,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0156-0195,390,9.949,2.259,4,17,180,150,30,13
4551,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0225,405,8.664,2.107,2,16,210,150,30,14
4552,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0255,420,9.048,2.271,3,17,240,150,30,14
4553,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0285,420,8.998,2.020,3,14,270,150,30,14
4554,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0315,420,8.336,1.950,4,14,300,150,30,14
4555,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0345,446,7.841,1.915,3,16,330,150,30,15
4556,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0375,450,7.396,2.378,3,16,360,150,30,15
4557,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0405,450,7.078,1.983,3,13,390,150,30,15
4558,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0158-0435,457,7.335,1.788,3,12,420,150,30,16
4559,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0158-0465,480,7.925,2.338,3,15,450,150,30,16
4560,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0158-0495,480,8.000,1.853,4,14,480,150,30,16
4561,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0158-0525,479,7.653,1.935,3,13,510,150,30,16
4562,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0555,450,7.829,1.940,3,15,540,150,30,15
4563,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0585,450,7.880,2.058,3,13,570,150,30,15
4564,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0615,442,7.348,2.139,3,14,600,150,30,15
4565,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0157-0645,373,7.979,1.669,4,13,630,150,30,14
4566,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0156-0675,327,9.046,2.046,4,15,660,150,30,12
4567,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0155-0705,313,8.843,1.793,4,13,690,150,30,11
4568,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0155-0735,276,8.630,2.110,4,16,720,150,30,10
4569,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0154-0765,218,7.459,1.859,3,13,750,150,30,9
4570,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0153-0795,179,7.279,1.893,4,13,780,150,30,7
4571,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0152-0825,139,8.640,1.668,5,13,810,150,30,5
4572,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0152-0855,94,8.809,1.581,5,13,840,150,30,4
4573,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0150-0883,16,8.562,1.315,6,11,870,150,26,1
4574,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0152-1275,59,6.661,1.777,3,11,1260,150,30,5
4575,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:0154-1297,79,7.886,1.387,5,12,1290,150,14,9
4576,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt4.mCherry.BandC.jpg:Background,900,6.422,2.027,2,13,419,237,30,30
4577,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:Body,70377,7.429,2.544,0,17,54,46,1220,122
4578,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0059-0886,37,7.270,1.742,5,11,872,58,28,2
4579,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0058-0915,84,7.393,1.914,2,11,900,56,30,4
4580,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0057-0945,134,6.918,2.026,2,12,930,55,30,5
4581,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0056-0975,183,7.694,2.264,3,13,960,53,30,7
4582,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0056-1005,197,6.675,1.886,2,11,990,53,30,7
4583,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0057-1035,168,7.060,1.913,3,12,1020,54,30,6
4584,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0057-1065,138,6.370,1.960,2,11,1050,55,30,5
4585,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0058-1095,94,7.149,1.866,3,13,1080,56,30,4
4586,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0059-1120,29,7.414,2.113,4,12,1110,58,21,2
4587,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0055-1186,147,7.401,2.558,2,13,1173,50,27,10
4588,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0053-1215,346,8.671,1.681,4,13,1200,46,30,14
4589,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0056-1244,124,8.048,2.419,3,13,1230,52,28,8
4590,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0088-0379,49,7.612,2.652,4,14,368,86,22,4
4591,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0086-0405,180,6.017,2.026,2,10,390,82,30,8
4592,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0083-0435,312,7.029,2.101,2,12,420,77,30,13
4593,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0082-0465,441,6.546,2.689,1,13,450,74,30,16
4594,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0081-0495,502,6.380,1.910,2,12,480,73,30,17
4595,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0081-0525,533,5.653,2.355,1,12,510,72,30,18
4596,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0080-0555,563,6.801,2.237,0,13,540,71,30,19
4597,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0080-0585,594,7.066,2.599,2,15,570,70,30,20
4598,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0079-0615,625,6.496,1.841,2,12,600,69,30,21
4599,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0079-0645,655,6.308,2.130,1,13,630,68,30,22
4600,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0078-0675,686,6.586,2.324,1,14,660,67,30,23
4601,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0078-0705,716,6.816,2.589,1,14,690,66,30,24
4602,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0077-0735,747,7.163,2.407,2,14,720,65,30,25
4603,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0077-0765,778,6.631,2.334,2,15,750,64,30,26
4604,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0076-0795,808,6.207,2.194,1,14,780,63,30,27
4605,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-0825,844,7.417,2.603,1,15,810,61,30,29
4606,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-0855,886,6.551,2.319,1,13,840,60,30,30
4607,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-0885,900,6.549,2.309,2,13,870,60,30,30
4608,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-0915,900,6.067,2.141,1,13,900,60,30,30
4609,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-0945,900,6.009,2.321,1,14,930,60,30,30
4610,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-0975,900,5.596,2.436,1,13,960,60,30,30
4611,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-1005,900,5.983,2.296,1,12,990,60,30,30
4612,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-1035,900,5.870,2.566,1,13,1020,60,30,30
4613,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-1065,898,6.298,2.516,0,12,1050,60,30,30
4614,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-1095,897,5.611,2.238,1,12,1080,60,30,30
4615,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-1125,900,5.341,2.139,1,13,1110,60,30,30
4616,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-1155,867,4.689,1.885,1,12,1140,60,30,30
4617,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-1185,900,5.146,2.227,0,13,1170,60,30,30
4618,ubiswitch-35x-batch2.wt_7dpf.250115_WT_7dpf_wt3.mCherry.BandC.jpg:0075-1215,634,6.203,2.456,1,14,1200,60,30,30
