 ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
44,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0074-0610,228,6.013,1.814,2,10,600,68,20,12
45,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0073-0630,260,5.362,2.281,1,11,620,66,20,14
46,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0072-0650,292,5.524,1.638,2,10,640,65,20,15
47,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0071-0670,328,6.451,2.154,3,13,660,63,20,17
48,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0690,360,6.847,1.962,2,11,680,61,20,19
49,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0710,393,6.929,2.102,2,13,700,60,20,20
50,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0730,400,7.532,2.376,3,14,720,60,20,20
51,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0750,400,6.825,2.566,1,13,740,60,20,20
52,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0770,400,6.875,2.378,1,12,760,60,20,20
53,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0790,400,7.572,2.301,1,14,780,60,20,20
54,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0810,400,7.202,1.875,2,12,800,60,20,20
55,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0830,400,7.438,2.102,2,14,820,60,20,20
56,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0850,400,8.902,2.386,3,18,840,60,20,20
57,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0870,400,9.033,1.896,4,15,860,60,20,20
58,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0890,400,9.932,2.077,4,17,880,60,20,20
59,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0910,400,10.277,1.881,5,15,900,60,20,20
60,ubiswitch-35x-batch3.yolk_7dpf.250121_ubiswitch_yolkinject50pgcre_7dpf_yolk12.mCherry.BandC.jpg:0070-0930,400,9.110,2.067,4,17,920,60,20,20
